,TCAS,AcademicYear,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,GPAX,FacultyName,StudentType,MajorName
1365,1,2562,2.72,3.33,3.25,3.43,3.29,4,THAI,English
1366,2,2562,3.89,2.62,2.72,3.58,3.25,4,THAI,English
1367,2,2562,4.0,3.89,3.49,3.97,3.78,4,THAI,English
1368,1,2562,3.1,2.3,2.57,3.55,2.92,4,THAI,English
1369,1,2562,3.05,3.56,2.84,3.72,3.32,4,THAI,English
1370,2,2562,2.41,2.1,2.69,3.38,2.8,4,THAI,English
1371,2,2562,2.31,1.78,2.85,2.86,2.51,4,THAI,English
1372,1,2562,3.15,1.98,2.28,3.52,2.73,4,THAI,English
1373,1,2562,3.95,3.66,3.51,3.94,3.68,4,THAI,English
1374,2,2562,3.71,3.73,3.35,3.66,3.57,4,THAI,English
1375,1,2562,3.63,3.1,2.56,3.55,3.21,4,THAI,English
1376,2,2562,3.39,2.72,2.27,3.3,2.92,4,THAI,English
1377,1,2562,3.28,2.52,2.7,3.3,2.98,4,THAI,English
1378,1,2562,2.93,2.28,2.8,3.71,3.07,4,THAI,English
1379,2,2562,3.17,2.83,2.6,3.26,3.01,4,THAI,English
1380,2,2562,3.65,3.76,3.38,3.6,3.61,4,THAI,English
1381,2,2562,2.34,2.02,2.02,2.75,2.38,4,THAI,English
1382,2,2562,2.83,2.33,2.6,3.44,2.91,4,THAI,English
1383,1,2562,3.93,2.98,3.27,3.86,3.37,4,THAI,English
1384,2,2562,3.53,2.66,3.26,3.63,3.31,4,THAI,English
1385,2,2562,3.02,2.0,3.15,3.39,3.07,4,THAI,English
1386,2,2562,3.5,2.33,2.42,3.73,3.0,4,THAI,English
1387,1,2562,3.15,3.3,3.08,3.61,3.24,4,THAI,English
1388,1,2562,3.12,2.18,2.98,3.4,2.95,4,THAI,English
1389,2,2562,3.19,3.01,2.58,3.42,3.0,4,THAI,English
1390,1,2562,2.92,2.96,2.75,3.5,3.11,4,THAI,English
1391,1,2562,3.28,1.74,2.62,3.55,2.94,4,THAI,English
1392,1,2562,3.0,2.56,3.55,3.47,3.33,4,THAI,English
1393,2,2562,2.56,2.42,2.16,3.67,2.73,4,THAI,English
1394,2,2562,2.14,1.7,1.77,3.31,2.41,4,THAI,English
1395,1,2562,2.82,2.66,2.69,3.1,2.87,4,THAI,English
1396,1,2562,3.32,3.52,2.56,3.61,3.17,4,THAI,English
1397,2,2562,3.22,2.47,2.98,3.44,3.09,4,THAI,English
1398,2,2562,2.95,2.86,2.97,3.32,3.09,4,THAI,English
1399,2,2562,3.0,1.33,2.22,2.23,2.33,4,THAI,English
1400,1,2562,3.33,2.6,2.46,3.34,2.99,4,THAI,English
1401,1,2562,3.84,3.22,3.05,3.41,3.44,4,THAI,English
1402,1,2562,3.05,2.62,2.71,3.4,3.07,4,THAI,English
1403,1,2562,3.18,3.66,2.93,3.9,3.42,4,THAI,English
1404,1,2562,3.67,2.98,3.4,3.88,3.46,4,THAI,English
1405,2,2562,3.03,2.83,2.88,3.71,3.11,4,THAI,English
1406,1,2562,3.77,3.97,3.75,3.9,3.86,4,THAI,English
1407,1,2562,3.6,3.88,3.59,3.78,3.73,4,THAI,English
1408,1,2562,3.93,3.97,3.78,3.6,3.86,4,THAI,English
1409,2,2562,2.6,1.56,2.24,2.35,2.36,4,THAI,English
1410,2,2562,3.81,3.03,2.93,3.55,3.32,4,THAI,English
1411,2,2562,3.56,2.96,2.69,2.94,3.07,4,THAI,English
1412,1,2562,3.42,3.5,2.92,3.36,3.3,4,THAI,English
1413,2,2562,3.24,2.26,2.6,3.4,2.9,4,THAI,English
1414,2,2562,3.46,3.17,2.8,3.35,3.2,4,THAI,English
1415,2,2562,3.58,1.82,2.0,2.72,2.63,4,THAI,English
1416,2,2562,3.06,3.83,3.54,3.7,3.63,4,THAI,English
1417,1,2562,4.0,4.0,3.76,3.91,3.9,4,THAI,English
1418,1,2562,2.55,3.64,3.42,3.5,3.34,4,THAI,English
1419,1,2562,3.72,3.4,3.4,3.58,3.44,4,THAI,English
1420,2,2562,3.5,3.76,3.61,3.55,3.63,4,THAI,English
1421,1,2562,3.14,2.68,2.45,2.83,2.87,4,THAI,English
1422,2,2562,2.5,2.25,2.18,3.77,2.79,4,THAI,English
1423,2,2562,2.35,2.2,2.05,3.58,2.65,4,THAI,English
1424,1,2562,3.2,2.34,2.93,2.61,3.02,4,THAI,English
1425,1,2562,3.7,2.96,3.48,3.47,3.48,4,THAI,English
1426,1,2562,3.84,3.0,3.12,3.66,3.44,4,THAI,English
1427,1,2562,3.84,3.64,3.67,3.97,3.79,4,THAI,English
1428,2,2562,4.0,4.0,3.87,4.0,3.93,4,THAI,English
1429,1,2562,3.31,3.44,3.25,3.4,3.35,4,THAI,English
1430,1,2562,2.64,1.66,2.8,3.25,2.83,4,THAI,English
1431,1,2562,2.83,2.76,2.64,3.73,3.11,4,THAI,English
1432,1,2562,3.83,2.2,2.66,3.92,3.18,4,THAI,English
1433,5,2562,2.45,1.8,2.01,2.7,2.28,4,THAI,English
1434,5,2562,2.96,2.22,2.4,3.5,2.81,4,THAI,English
1435,5,2562,2.68,2.53,2.8,2.59,2.73,4,THAI,English
1436,5,2562,3.03,2.4,1.97,3.37,2.63,4,THAI,English
1437,5,2562,3.61,3.51,2.66,3.88,3.35,4,THAI,English
1438,5,2562,2.28,2.97,1.55,2.42,2.42,4,THAI,English
1439,5,2562,2.45,2.36,2.32,2.98,2.63,4,THAI,English
1440,5,2562,2.98,3.04,3.04,2.92,2.99,4,THAI,English
1441,1,2562,3.11,2.69,3.13,3.36,3.09,6,THAI,English
1442,1,2562,3.58,2.2,3.4,3.55,3.54,6,THAI,English
1443,1,2562,3.07,2.5,2.4,3.06,3.12,6,THAI,English
1444,2,2562,3.54,3.1,2.87,3.41,3.45,6,THAI,English
1445,1,2562,2.92,2.5,2.78,3.87,3.14,6,THAI,English
1446,1,2562,3.7,3.3,3.62,3.55,3.63,6,THAI,English
1447,2,2562,2.31,1.48,3.16,3.39,2.82,6,THAI,English
1448,1,2562,2.45,2.6,2.16,3.32,2.68,6,THAI,English
1449,1,2562,2.6,1.66,3.3,3.48,3.0,6,THAI,English
1450,1,2562,3.9,4.0,3.4,3.97,3.77,6,THAI,English
1451,2,2562,2.32,1.57,1.9,3.25,2.68,6,THAI,English
1452,1,2562,2.81,1.86,2.43,3.41,2.61,6,THAI,English
1453,2,2562,2.57,1.91,3.0,2.78,2.79,6,THAI,English
1454,1,2562,2.8,3.4,3.0,3.33,3.15,6,THAI,English
1455,2,2562,3.4,1.42,2.4,3.13,2.76,6,THAI,English
1456,2,2562,3.06,2.2,2.59,3.02,2.87,6,THAI,English
1457,2,2562,2.76,2.01,2.41,3.05,2.68,6,THAI,English
1458,1,2562,3.4,2.7,3.2,3.69,3.51,6,THAI,English
1459,2,2562,4.0,3.32,2.84,3.85,3.41,6,THAI,English
1460,2,2562,3.29,2.52,2.27,3.54,2.96,6,THAI,English
1461,2,2562,2.97,2.32,2.95,3.47,3.03,6,THAI,English
1462,1,2562,3.86,2.53,2.88,3.8,3.28,6,THAI,English
1463,1,2562,2.76,3.1,3.5,3.85,3.56,6,THAI,English
1464,2,2562,2.56,1.74,1.98,3.15,2.66,6,THAI,English
1465,2,2562,3.04,2.25,3.1,3.51,3.1,6,THAI,English
1466,1,2562,3.21,2.26,2.47,3.58,2.9,6,THAI,English
1467,2,2562,2.95,2.68,2.84,3.79,3.04,6,THAI,English
1468,1,2562,2.22,2.43,3.0,3.54,2.94,6,THAI,English
1469,1,2562,2.6,2.12,2.29,3.33,2.77,6,THAI,English
1470,1,2562,3.15,2.7,2.83,3.1,3.21,6,THAI,English
1471,2,2562,2.76,1.9,1.9,3.1,2.78,6,THAI,English
1472,1,2562,3.84,2.98,3.52,3.88,3.55,6,THAI,English
1473,1,2562,2.03,1.32,1.75,2.5,2.22,6,THAI,English
1474,2,2562,2.56,2.8,2.7,3.5,3.15,6,THAI,English
1475,2,2562,2.94,2.52,3.01,2.8,3.04,6,THAI,English
1476,2,2562,3.0,2.0,2.3,3.18,3.09,6,THAI,English
1477,2,2562,2.65,2.2,2.9,3.64,3.12,6,THAI,English
1478,1,2562,2.96,2.64,2.62,3.47,2.88,6,THAI,English
1479,1,2562,2.87,2.43,2.2,2.81,2.81,6,THAI,English
1480,2,2562,3.53,1.81,3.0,3.8,3.14,6,THAI,English
1481,2,2562,3.93,3.16,3.57,4.0,3.68,6,THAI,English
1482,1,2562,2.93,2.53,2.38,3.73,2.86,6,THAI,English
1483,1,2562,3.29,2.6,2.8,2.83,3.01,6,THAI,English
1484,1,2562,2.67,1.9,1.5,2.63,2.58,6,THAI,English
1485,1,2562,3.55,2.59,2.93,3.41,3.2,6,THAI,English
1486,1,2562,2.76,2.3,2.55,3.38,2.89,6,THAI,English
1487,1,2562,3.09,2.9,3.72,3.51,3.43,6,THAI,English
1488,2,2562,2.59,1.43,2.0,3.18,2.38,6,THAI,English
1489,2,2562,3.14,2.2,2.98,3.44,3.09,6,THAI,English
1490,1,2562,2.53,2.0,2.67,3.57,2.89,6,THAI,English
1491,2,2562,2.47,1.3,2.25,2.85,2.5,6,THAI,English
1492,2,2562,3.06,2.3,3.15,3.13,3.25,6,THAI,English
1493,1,2562,3.1,2.13,1.7,2.82,2.7,6,THAI,English
1494,1,2562,3.0,2.4,2.59,3.0,2.85,6,THAI,English
1495,2,2562,2.9,2.98,2.55,3.38,3.05,6,THAI,English
1496,1,2562,2.69,2.0,2.4,3.28,2.7,6,THAI,English
1497,1,2562,3.58,2.4,3.5,3.7,3.56,6,THAI,English
1498,1,2562,3.15,2.42,2.37,2.83,3.0,6,THAI,English
1499,1,2562,3.56,2.1,3.2,3.67,3.48,6,THAI,English
1500,1,2562,2.58,3.2,1.8,3.08,2.76,6,THAI,English
1501,2,2562,2.02,0.8,1.62,3.0,2.01,6,THAI,English
1502,2,2562,3.22,2.48,2.37,3.3,2.94,6,THAI,English
1503,2,2562,3.19,2.1,1.84,2.76,2.52,6,THAI,English
1504,1,2562,2.64,2.4,2.9,3.35,3.09,6,THAI,English
1505,1,2562,2.52,1.63,2.7,3.25,2.68,6,THAI,English
1506,1,2562,3.11,2.4,2.7,3.36,2.98,6,THAI,English
1507,1,2562,2.83,1.3,2.6,2.75,2.67,6,THAI,English
1508,2,2562,2.64,2.06,2.5,2.86,2.71,6,THAI,English
1509,1,2562,3.72,2.75,3.36,2.86,3.38,6,THAI,English
1510,2,2562,2.81,2.5,2.52,3.77,2.94,6,THAI,English
1511,2,2562,3.26,2.28,3.71,3.55,3.31,6,THAI,English
1512,1,2562,2.82,2.13,2.2,2.77,2.74,6,THAI,English
1513,1,2562,2.93,1.96,2.7,4.0,3.08,6,THAI,English
1514,2,2562,1.31,0.76,1.25,1.35,1.31,6,THAI,English
1515,1,2562,3.55,2.72,2.85,3.6,3.17,6,THAI,English
1516,2,2562,2.5,2.4,2.5,3.41,2.97,6,THAI,English
1517,1,2562,2.39,2.0,2.25,2.52,2.61,6,THAI,English
1518,1,2562,2.72,3.5,3.0,2.85,3.3,6,THAI,English
1519,2,2562,2.18,1.9,3.03,3.23,2.82,6,THAI,English
1520,1,2562,2.7,2.26,2.4,2.91,2.65,6,THAI,English
1521,1,2562,3.42,2.89,2.2,2.86,3.12,6,THAI,English
1522,1,2562,2.97,2.5,2.67,3.44,3.1,6,THAI,English
1523,1,2562,3.91,3.12,3.67,3.93,3.71,6,THAI,English
1524,1,2562,2.76,1.26,1.83,2.85,2.28,6,THAI,English
1525,2,2562,2.2,2.9,2.45,2.38,2.83,6,THAI,English
1526,1,2562,3.54,2.44,2.93,3.94,3.29,6,THAI,English
1527,1,2562,2.25,2.2,2.18,3.13,2.56,6,THAI,English
1528,1,2562,3.92,3.66,3.69,3.94,3.81,6,THAI,English
1529,1,2562,3.45,2.11,2.31,3.47,2.96,6,THAI,English
1530,1,2562,3.3,2.0,2.38,3.63,2.69,6,THAI,English
1531,1,2562,3.1,2.3,3.25,3.58,3.16,6,THAI,English
1532,1,2562,3.1,2.26,2.64,2.92,2.97,6,THAI,English
1533,2,2562,3.53,2.29,3.2,3.83,3.29,6,THAI,English
1534,1,2562,3.98,3.88,3.64,3.91,3.81,6,THAI,English
1535,1,2562,2.85,2.57,2.47,3.11,2.85,6,THAI,English
1536,2,2562,3.1,2.73,2.76,3.93,3.14,6,THAI,English
1537,1,2562,3.88,3.4,3.57,3.63,3.69,6,THAI,English
1538,1,2562,3.08,1.9,3.14,3.65,3.38,6,THAI,English
1539,2,2562,2.92,2.56,2.6,3.84,3.0,6,THAI,English
1540,1,2562,3.11,2.94,2.13,2.61,2.81,6,THAI,English
1541,1,2562,3.0,3.22,3.04,3.36,3.19,6,THAI,English
1542,1,2562,3.7,2.29,2.27,3.52,2.96,6,THAI,English
1543,2,2562,3.24,2.96,2.99,3.73,3.26,6,THAI,English
1544,1,2562,2.78,2.84,3.0,3.4,3.13,6,THAI,English
1545,1,2562,2.75,2.8,2.72,3.63,3.06,6,THAI,English
1546,1,2562,3.22,2.44,2.88,3.73,3.07,6,THAI,English
1547,1,2562,3.81,3.4,2.9,3.23,3.49,6,THAI,English
1548,1,2562,3.4,2.5,2.54,3.79,3.49,6,THAI,English
1549,1,2562,3.58,3.12,3.01,3.94,3.4,6,THAI,English
1550,1,2562,3.22,2.0,3.0,3.24,3.26,6,THAI,English
1551,1,2562,3.94,3.43,3.53,4.0,3.73,6,THAI,English
1552,2,2562,3.41,3.27,2.99,3.56,3.36,6,THAI,English
1553,1,2562,3.04,1.95,2.2,2.79,2.77,6,THAI,English
1554,1,2562,3.25,2.52,2.77,3.88,3.08,6,THAI,English
1555,1,2562,3.02,2.32,2.6,3.13,3.06,6,THAI,English
1556,1,2562,3.54,3.33,3.46,3.58,3.57,6,THAI,English
1557,1,2562,3.77,3.15,2.81,4.0,3.4,6,THAI,English
1558,1,2562,3.35,2.16,3.14,3.83,3.22,6,THAI,English
1559,1,2562,3.01,1.4,2.2,2.64,2.83,6,THAI,English
1560,2,2562,3.8,3.54,3.3,3.91,3.57,6,THAI,English
1561,2,2562,3.54,2.83,2.65,3.86,3.19,6,THAI,English
1562,1,2562,3.72,2.7,2.98,3.7,3.28,6,THAI,English
1563,1,2562,3.25,2.77,3.64,3.72,3.48,6,THAI,English
1564,2,2562,3.84,2.82,3.01,3.61,3.19,6,THAI,English
1565,1,2562,2.73,2.56,2.21,2.93,2.67,6,THAI,English
1566,1,2562,3.32,2.7,2.57,3.35,3.29,6,THAI,English
1567,1,2562,3.7,2.4,3.2,3.02,3.42,6,THAI,English
1568,1,2562,4.0,2.53,3.45,4.0,3.6,6,THAI,English
1569,1,2562,2.94,2.4,2.56,3.47,3.2,6,THAI,English
1570,1,2562,2.9,2.66,3.33,2.78,2.83,6,THAI,English
1571,2,2562,2.5,1.72,2.08,2.82,2.56,6,THAI,English
1572,2,2562,3.14,1.5,3.08,2.91,3.05,6,THAI,English
1573,2,2562,2.37,1.7,2.35,3.2,2.67,6,THAI,English
1574,1,2562,3.38,2.63,3.3,3.68,3.36,6,THAI,English
1575,1,2562,2.52,2.28,2.25,3.35,2.62,6,THAI,English
1576,1,2562,2.67,2.23,2.62,3.18,2.75,6,THAI,English
1577,2,2562,4.0,3.69,3.31,3.92,3.74,6,THAI,English
1578,1,2562,3.21,1.73,2.45,2.91,2.65,6,THAI,English
1579,2,2562,2.5,1.31,1.93,2.51,2.43,6,THAI,English
1580,1,2562,3.24,2.4,3.5,3.07,3.31,6,THAI,English
1581,1,2562,3.8,2.66,3.8,3.38,3.43,6,THAI,English
1582,1,2562,2.76,3.0,2.68,2.83,2.93,6,THAI,English
1583,1,2562,3.62,2.27,3.1,3.58,3.23,6,THAI,English
1584,1,2562,3.32,2.52,3.02,2.97,3.07,6,THAI,English
1585,1,2562,3.02,2.3,3.75,3.78,3.29,6,THAI,English
1586,2,2562,1.95,1.48,2.24,3.33,2.31,6,THAI,English
